Trial#,Scene,Direction,Correctness,Latency,TrialCorrection,TrialRepetition,TrialVoid,TrialSkipped,,
1,Zebra,right,WRONG,25.200055,18.308202,5.995191,NO,NO,NO,NO
2,Pebbles,right,CORRECT,9.042954,4.154059,2.09014,NO,NO,NO,NO
3,Zebra,right,WRONG,6.529223,3.888184,2.1624,NO,NO,NO,NO
4,Pebbles,left,WRONG,38.705069,29.057169,28.411034,NO,NO,NO,NO
5,Pebbles,left,WRONG,19.057545,8.817926,1.286584,NO,NO,NO,NO
6,Zebra,right,WRONG,46.480254,1.974421,0.760453,NO,NO,YES,NO
6,Zebra,left,CORRECT,20.191853,3.403176,0.826488,NO,NO,NO,NO
7,Zebra,right,WRONG,43.375359,15.360761,10.745234,NO,NO,YES,NO
7,Zebra,left,CORRECT,22.488637,19.725698,0.843486,NO,NO,NO,NO
8,Zebra,left,CORRECT,17.145921,12.535634,10.795988,NO,NO,NO,NO
9,Pebbles,right,CORRECT,6.866208,3.863876,0.9728,NO,NO,NO,NO
10,Pebbles,left,WRONG,12.312494,7.30693,6.674194,NO,NO,NO,NO
11,Zebra,left,CORRECT,9.241304,1.804921,0.616979,NO,NO,NO,NO
12,Zebra,left,CORRECT,22.760381,3.275539,1.147831,NO,NO,NO,NO
13,Pebbles,left,WRONG,35.129207,5.046454,4.163434,NO,NO,YES,NO
13,Pebbles,right,CORRECT,39.136634,6.023335,5.286427,NO,NO,YES,NO
13,Pebbles,left,WRONG,44.742977,31.485105,5.962847,NO,NO,YES,NO
13,Pebbles,left,WRONG,14.465972,11.288667,10.087291,NO,NO,NO,NO
14,Zebra,left,CORRECT,10.977527,7.203824,6.072019,NO,NO,YES,NO
14,Zebra,left,CORRECT,13.544392,7.239832,6.60143,NO,NO,NO,NO
15,Pebbles,right,CORRECT,38.160594,20.961092,18.302204,NO,NO,NO,NO
16,Pebbles,left,WRONG,69.871541,7.970426,3.712644,NO,NO,NO,NO
17,Pebbles,left,WRONG,54.215191,17.324453,2.078121,NO,NO,NO,NO
18,Zebra,left,CORRECT,65.965593,7.667936,6.840265,NO,NO,YES,NO
18,Zebra,left,CORRECT,37.736741,23.096256,3.673648,NO,NO,NO,NO
